smiles,base_material,dielectric_constant,tg_celsius,density_g_cm3,thickness_nm,applied_voltage,temp_c,sim_capacitance_F,sim_status
CCCCCCCCC(=O)NCCC,Nylon-6,3.494635461361403,43.12610420912943,1.098437642662753,738.5405751869355,458.798332793332,200,0.0,Failed
CCCCCCCCC(=O)NCl,Nylon-6,3.410771133787272,49.11588028965947,1.1040531886473706,3676.978846507215,85.91753970972076,100,0.0,Failed
CCCCCCCCC(F)(F)F,PE,2.269174371471505,-117.09803568760962,0.9000798241032004,2026.381116840124,474.2505776375554,300,0.0,Failed
COCCCCCCl,PE,2.138371412727198,-121.8189565315057,0.9029450107491316,2730.917775913054,486.50478949518725,200,75.6305195078213,Success
FC(F)(F)CC(Cl)CC(Cl)C(=O)O,PVC,3.52123298956713,75.21704906692007,1.404238390523453,4978.949869228208,451.4149851502412,100,67.8627216326564,Success
CCCCC(Cl)CC(Cl)C#N,PVC,3.595327760307462,77.48285106973805,1.3820042716501773,3722.1714271545616,482.6320404753056,100,0.0,Failed
CCCCC(F)(F)CC(F)(F)C(=O)O,PVDF,11.910162523450328,-31.3740867237096,1.7603536421293395,887.1470031304957,342.5784612572588,25,0.0,Failed
CCCCC(C)CC(C)CC,PP,2.143542142831815,-14.610036751372856,0.8871890412641017,820.2810234897469,192.5793228176272,25,0.0,Failed
CCCC(Cl)CC(Cl)C(=O)O,PVC,3.565027718343961,82.10198060230637,1.442012395289825,1210.0468558177913,44.140593699268,25,0.0,Failed
CCCC(C)CC(C)CCC,PP,2.295825496550794,-13.04783317230001,0.8894009261221547,4029.084147062688,423.8436084170626,25,0.0,Failed
CCCCC(C)(C(=O)OC)CC(C)(C(=O)OC)Cl,PMMA,2.9750835941575646,100.12499441681568,1.1619384862014095,3470.437474932476,44.3936617175056,25,0.0,Failed
ClC(F)(F)C(F)(F)CC,PTFE,2.1396282701135325,110.63938991424556,2.1597148537658395,4035.852838885856,405.1004867233651,100,52.8427663892692,Success
CCC(F)(F)C(F)(F)OC,PTFE,2.124627409340776,111.4380164231333,2.2324107220224665,1135.145459302946,347.4894010242401,200,172.460989139609,Success
FC(F)(F)CC(C)(C(=O)OC)CC(C)(C(=O)OC)CC,PMMA,2.964065806651468,107.85262255319752,1.194096781540757,1583.5647511142788,37.52815086564785,300,0.0,Failed
CC(=O)CC(C)CC(C)C#N,PP,2.1446155489885594,-10.164524492203949,0.90196745042018,3752.06649074705,455.02297229442746,200,56.357956272202806,Success
CCCC(C)CC(C)C#N,PP,2.1155248956072383,-6.900240653098585,0.885767897107075,2519.515463229707,18.538236930928395,25,0.0,Failed
COCC(c1ccccc1)CC(c1ccccc1)CC,Polystyrene,2.577389062541562,98.92915146056043,1.0404208083256583,700.6366655215646,120.84071807629648,200,0.0,Failed
ClCC(c1ccccc1)CC(c1ccccc1)CC,Polystyrene,2.482197134906671,101.24482222806834,1.0819236596942428,1024.5049811789756,27.94665974412312,200,0.0,Failed
c1ccccc1CC(C)(C(=O)OC)CC(C)(C(=O)OC)C(=O)O,PMMA,2.9670096887903066,102.46931190120948,1.194553009619834,4359.021707140869,246.3092142945296,200,0.0,Failed
CCCC(C)(C(=O)OC)CC(C)(C(=O)OC)C,PMMA,2.953174150060684,104.48135683125504,1.1796076851819024,3625.161171575294,370.9071188670963,25,77.98153973661441,Success
CCCCCCCC,PE,2.137796001262066,-120.2658896163335,0.9336453199241652,4932.353740649566,484.8008445912303,200,43.6513491192028,Success
FC(F)(F)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)OCl,Polycarbonate,2.9827329468797874,144.36488711079804,1.2237359297345822,4227.242368313224,85.27804633062831,300,0.0,Failed
CCCCC(c1ccccc1)CC(c1ccccc1)Cl,Polystyrene,2.515056680961438,99.32117727130168,1.0063618121520204,1309.285208871041,333.63899349779064,100,0.0,Failed
ClC(=O)c1ccc(cc1)C(=O)OCCOOC,PET,3.2011888285631085,78.32572160855487,1.3827834317528416,2691.7823677274887,115.92279721105471,200,0.0,Failed
CC(=O)CC(Cl)CC(Cl)CCC,PVC,3.495169789328013,80.15551870246351,1.391481007261595,4078.8552901191824,26.010707032337205,25,0.0,Failed
FC(F)(F)CC(C)CC(C)C#N,PP,2.2465659080308216,-7.08962017103832,0.93243435440861,1480.7404740742404,245.15275364106017,25,0.0,Failed
c1ccccc1C(F)(F)C(F)(F)Cl,PTFE,2.1991400550385314,119.71404909143943,2.2309072969511057,3699.193064855756,430.3762572713954,25,58.42074797233231,Success
CCCCCCCCCC,PE,2.1092791215370323,-120.89964996421652,0.8962418065633166,2509.660514340275,473.9065190161201,300,80.8487262039189,Success
CC(=O)CC(Cl)CC(Cl)CC,PVC,3.408477864200164,76.84839421128218,1.4487686067265992,4892.51479355246,401.5471993193556,100,0.0,Failed
c1ccccc1CCCCCCCC,PE,2.2124566982145395,-122.29176621850968,0.8940582106317325,1130.9905567946453,363.8742201139283,100,0.0,Failed
CCCCC(C)CC(C)C(=O)O,PP,2.2932347391538093,-11.14991269181543,0.9192282422113468,3405.1616043893937,206.74632806950603,25,65.599705306396,Success
COCCCCCCCC,PE,2.2260548740234096,-117.06866199378165,0.9059699616341792,1499.496334262693,93.4695079443526,200,0.0,Failed
CCCCCCCCOC,PE,2.2809773009427543,-121.46675907131358,0.9648723587831758,3225.8079824969964,340.3722869116771,300,68.6548493159186,Success
COOc1ccc(cc1)C(C)(C)c2ccc(cc2)OCC,Polycarbonate,2.8215104496999905,144.18827217864916,1.249343161311021,2570.837172949441,117.26541941482168,200,0.0,Failed
FC(F)(F)CC(F)(F)CC(F)(F)Cl,PVDF,12.009076817819102,-32.67858909749017,1.7895316575227924,1572.3058915450938,337.6073968105311,25,0.0,Failed
FC(F)(F)CC(C)(C(=O)OC)CC(C)(C(=O)OC)C(=O)O,PMMA,3.0211314383202885,109.0186674746585,1.1450638306753245,1346.9430945449412,231.48590449708405,200,205.383220847495,Success
CC(F)(F)C(F)(F)Cl,PTFE,2.168277300412362,113.15199366677624,2.151989783585702,4450.144330680767,115.20089333597716,100,48.73345662293951,Success
CC(=O)c1ccc(cc1)C(=O)OCCOOC,PET,3.329880493287978,74.28929081393,1.3604584481030144,4218.802519979334,148.59968835227548,25,75.6644015340137,Success
CCCCC(C)CC(C)C,PP,2.2020018522630584,-10.478347846309246,0.9333656604772284,3548.192212137532,111.57167626949546,200,0.0,Failed
CC(=O)c1ccc(cc1)C(=O)OCCOC(F)(F)F,PET,3.3409097480794747,71.56227498593975,1.346089356525751,3376.880102017876,132.57741402119433,100,0.0,Failed
CCCCCCCCCl,PE,2.1030579609937416,-120.241494617667,0.9558668413785046,1870.3101831406743,298.8060573858993,200,106.187232311543,Success
CCCCCCCC(=O)NC#N,Nylon-6,3.512998443378104,46.53488784288351,1.1396908434060962,1740.19337463401,499.0104172692268,100,185.496792356262,Success
COC(F)(F)C(F)(F)C(=O)O,PTFE,2.155942054339512,114.71748550991003,2.229598327185263,964.9500524904854,69.19070918525662,100,204.623821844502,Success
NCC(C)CC(C)CC,PP,2.2164490555496674,-13.010819371172744,0.931725850249075,3450.535085469849,339.89079910564294,300,0.0,Failed
COCC(c1ccccc1)CC(c1ccccc1)CCC,Polystyrene,2.459532087842912,101.102291659546,1.01671048647989,4186.238194552575,82.6801346090227,300,0.0,Failed
COC(F)(F)C(F)(F)Cl,PTFE,2.173079222476457,114.82038479187892,2.215977895891716,558.8725180030775,12.658442794752322,200,0.0,Failed
FC(F)(F)CC(C)CC(C)CCC,PP,2.2605721663991023,-9.84690816771758,0.9147362870323916,3761.025061737024,468.66953516092553,100,0.0,Failed
CC(=O)c1ccc(cc1)C(=O)OCCOCCC,PET,3.261476947627134,75.85286996058942,1.388440399745665,1626.690214008133,186.61200819105017,200,0.0,Failed
CC(=O)CC(C)CC(C)CC,PP,2.143402972986294,-6.0337564944328985,0.8667389688591951,1339.4005395664644,324.38703191706423,300,148.42318988198102,Success
CCCCCCCCC#N,PE,2.1634937125121345,-118.28424989614837,0.967216437582186,3740.883834221229,301.27686416327134,300,0.0,Failed
c1ccccc1CC(C)(C(=O)OC)CC(C)(C(=O)OC)CC,PMMA,3.0765350319410905,108.80833739005938,1.1309116801184709,785.198532715483,471.3784426678736,100,0.0,Failed
c1ccccc1C(F)(F)C(F)(F)CC,PTFE,2.0425978284193387,116.92939048999008,2.153212296439176,2469.2096588703407,460.16901247011225,25,79.6835297422112,Success
CCCC(F)(F)CC(F)(F)CC,PVDF,12.044353175510784,-35.216367156999226,1.7537417708240528,909.7151301490778,42.09800453529995,300,0.0,Failed
CC(=O)CC(C)(C(=O)OC)CC(C)(C(=O)OC)C(=O)O,PMMA,2.964912071055661,101.96526987259864,1.216897674919197,3648.1698595261273,269.46303697463736,300,77.7971981511119,Success
ClCC(c1ccccc1)CC(c1ccccc1)OC,Polystyrene,2.572432816157749,95.61495187373154,1.05968117150471,1975.4135584888136,235.59112576623787,100,0.0,Failed
NCCCCCC,PE,2.1828600201211747,-124.92076031680332,0.9060133726423444,1109.8263061440352,364.4570905350017,300,0.0,Failed
CC(=O)CC(C)CC(C)C(F)(F)F,PP,2.285519257836845,-6.0697936504102366,0.948875618166836,968.884146984429,30.15708274087068,200,0.0,Failed
CCC(F)(F)CC(F)(F)C(F)(F)F,PVDF,12.02432812294974,-33.07777448078562,1.7516956080227928,2890.9276344464333,394.1887514131428,300,0.0,Failed
COCCCCCOC,PE,2.1354351887802,-119.8263911350324,0.8879786878733673,2266.3694407861867,339.2633594952327,100,89.9360685085825,Success
CCC(c1ccccc1)CC(c1ccccc1)Cl,Polystyrene,2.46521623340766,99.92269510546616,1.088821620529517,3425.427431574477,430.8187363698684,100,0.0,Failed
NCC(C)(C(=O)OC)CC(C)(C(=O)OC)CC,PMMA,3.091840746251749,106.15941307151162,1.1817451075610028,626.4340377422385,250.24586175880395,200,0.0,Failed
CC(=O)CC(C)CC(C)OC,PP,2.178896906338216,-7.87820661548941,0.9241597640737343,3984.176436568093,207.76931525750325,25,0.0,Failed
CCCC(F)(F)C(F)(F)Cl,PTFE,2.1832536518385672,119.97026929913532,2.221737469141052,2009.91098488775,156.63894534398972,25,102.77876330727,Success
COCC(C)CC(C)C(F)(F)F,PP,2.206123890154787,-9.988704316839764,0.8509493978264056,3902.455840020148,374.9938129417064,200,0.0,Failed
CCCCCCCCC(=O)NOC,Nylon-6,3.476478702960069,49.83588113952732,1.1468233957512397,4884.483305505212,49.08929346126228,200,0.0,Failed
CCCCCCCCC(=O)NC(=O)O,Nylon-6,3.5256551909585805,45.34401577162373,1.1236352076352198,1581.2122570301333,61.64952849189854,200,204.204142496604,Success
COOc1ccc(cc1)C(C)(C)c2ccc(cc2)OCl,Polycarbonate,2.805527219070028,149.54199057534882,1.2142720242074183,3357.37732843116,365.3618344640216,100,0.0,Failed
NC(=O)c1ccc(cc1)C(=O)OCCOCC,PET,3.303943101803977,77.49963084119516,1.3725048171830847,3612.056482141799,242.1447817587652,300,0.0,Failed
CCC(=O)c1ccc(cc1)C(=O)OCCOC(F)(F)F,PET,3.233731173907876,70.7858034663728,1.3832898329345404,1805.8629800594567,154.22647676246743,300,0.0,Failed
COCCCCCC(=O)NC,Nylon-6,3.562413944255096,46.85569509362556,1.1882073531943296,1856.2939238533947,51.72467048760455,200,176.659313169232,Success
CCCCC(Cl)CC(Cl)CCC,PVC,3.457437452473009,82.89572697626411,1.4231149599925277,4798.090992918993,482.9485494683967,100,0.0,Failed
CC(=O)c1ccc(cc1)C(=O)OCCOCC,PET,3.240639010477009,72.86061003257163,1.400271413161874,2636.127655580345,30.51411744242357,300,0.0,Failed
FC(F)(F)CC(c1ccccc1)CC(c1ccccc1)C(=O)O,Polystyrene,2.4175738841546424,95.9212138303031,1.0124654552772616,2601.114631030636,34.56742791574857,300,0.0,Failed
NCCCCCC(=O)O,PE,2.1369135034139406,-122.50656524232492,0.9514253784178336,4825.532289566657,38.11009256487117,200,0.0,Failed
c1ccccc1CC(C)CC(C)C(=O)O,PP,2.231021382380215,-10.166174168613251,0.9181673398036378,2474.0002154122544,227.54909008656983,100,86.2968149271602,Success
CCOc1ccc(cc1)C(C)(C)c2ccc(cc2)OC,Polycarbonate,2.899348694487878,149.1952521180382,1.2454659747873995,4446.064347700407,346.1446639789296,300,0.0,Failed
FC(F)(F)CC(Cl)CC(Cl)OC,PVC,3.4774110729166097,82.83392494936135,1.3786074426964343,1586.817772631364,81.66869661641157,25,200.81337077444,Success
NC(=O)c1ccc(cc1)C(=O)OCCOCCC,PET,3.304788340387574,72.85308100642064,1.331333696400146,4615.828274056973,186.88606273097471,300,0.0,Failed
CC(=O)CCCCCCl,PE,2.2072768206499207,-116.61211022655424,0.8736060351301289,2426.8403257178584,379.9972383186089,25,0.0,Failed
c1ccccc1CCCCCC(=O)NC,Nylon-6,3.5204835614666417,48.74896696953307,1.1034724389419974,756.1622360443996,172.4457592862066,200,419.084657818556,Success
COOc1ccc(cc1)C(C)(C)c2ccc(cc2)OOC,Polycarbonate,2.999948876666198,141.29311276513096,1.216381474481712,4094.473265972941,487.1434310475196,300,0.0,Failed
c1ccccc1CCCCCC#N,PE,2.283225676319949,-118.50633166771878,0.9522220692475946,1807.844764553505,72.06699449362485,100,118.48548923250802,Success
CCCCCCCCl,PE,2.2561501833220867,-121.31810984270216,0.9111748909073782,3759.86782497524,85.15634644686524,200,58.8806630672842,Success
CC(=O)C(F)(F)C(F)(F)CCC,PTFE,2.128718291628984,112.57287455860735,2.2378009542005937,4753.264498809067,55.75562641084564,100,0.0,Failed
FC(F)(F)C(F)(F)C(F)(F)C#N,PTFE,2.127474770810973,115.25824246534134,2.248078780035355,2150.130231101953,361.38710380320697,300,0.0,Failed
FC(F)(F)CC(C)CC(C)CC,PP,2.1553916819478074,-12.29523041315452,0.8633215059785231,4864.650869473904,72.1690638513783,200,44.5488176729756,Success
CC(=O)CCCCCC(=O)NCC,Nylon-6,3.532047917338631,48.45061608883292,1.147690695490154,4339.07925152141,222.09123931930384,200,0.0,Failed
COC(F)(F)C(F)(F)C(F)(F)F,PTFE,2.103213370285861,115.79060997904492,2.177591847271486,2836.888386854906,330.8899605713381,200,0.0,Failed
CCCCCCC(F)(F)F,PE,2.228454740777822,-121.9998445825526,0.928712117324769,4304.392861998993,386.7341908803973,25,0.0,Failed
CCCCCCCC(F)(F)F,PE,2.2266208313005187,-119.74149996611084,0.9400955191856802,1612.4707732028596,265.8737459838908,100,128.97805018514703,Success
NCC(c1ccccc1)CC(c1ccccc1)OC,Polystyrene,2.4998819046107066,102.45064933186686,1.028852680598203,1837.1940718288204,452.3515544563466,25,127.161246732494,Success
COCC(C)(C(=O)OC)CC(C)(C(=O)OC)OC,PMMA,3.0268566681416584,101.53461583849942,1.1709269197416292,2867.522433010736,361.0636832719644,300,0.0,Failed
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PTFE,2.165068245724338,119.93443761391389,2.21954454403404,4074.402027993299,175.23418063810482,25,52.9242826588902,Success
CC(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)OOC,Polycarbonate,2.9958055554827894,140.15394837316504,1.2050878303003572,3837.543290613192,130.95340051687637,100,74.8428123072037,Success
ClOc1ccc(cc1)C(C)(C)c2ccc(cc2)OC(F)(F)F,Polycarbonate,2.94840276562004,142.8972035844914,1.1626829624601829,2449.134124670956,255.6718039393903,25,0.0,Failed
CCCC(C)(C(=O)OC)CC(C)(C(=O)OC)Cl,PMMA,3.009883157775682,108.14449151837444,1.1429709615695791,549.5368816276515,288.21102067696427,25,0.0,Failed
CCCCCCC(=O)NC(=O)O,Nylon-6,3.443089030805918,45.89918559044242,1.0931394766276183,3099.737467384457,358.9750544125378,300,0.0,Failed
CCC(C)(C(=O)OC)CC(C)(C(=O)OC)C#N,PMMA,2.9639464246744103,100.1625502334196,1.1301958249100006,4171.904091930292,70.42542624018688,200,68.7161506195952,Success
CCC(c1ccccc1)CC(c1ccccc1)C#N,Polystyrene,2.4332814857506424,100.40832374561629,1.0546176207424092,4142.155463491086,85.1897521489766,100,0.0,Failed
FC(F)(F)C(=O)c1ccc(cc1)C(=O)OCCOCC,PET,3.2815660914937577,77.94984845880114,1.3621277632122677,3089.764739499636,381.5492786171052,300,0.0,Failed
COCC(Cl)CC(Cl)OC,PVC,3.511993251214184,80.63227202386685,1.4485664820591575,2021.823832807623,202.02713289065727,200,0.0,Failed
FC(F)(F)CC(c1ccccc1)CC(c1ccccc1)C,Polystyrene,2.495492357345009,95.07389319714824,1.0954004951202156,4377.661106630997,336.5490967024932,100,56.1406352251,Success
ClCC(C)CC(C)C,PP,2.20394358567014,-8.473013636783314,0.931078710790508,2317.0542455769764,334.44848568767003,100,0.0,Failed
CC(=O)C(=O)c1ccc(cc1)C(=O)OCCOOC,PET,3.221453345338829,77.02324714129234,1.409020583166303,4693.050651005114,157.60279366110055,200,66.20763875274861,Success
CCCCCCCCC(=O)NC#N,Nylon-6,3.428893038672804,50.07468196416277,1.134767601554976,3807.3334356910095,154.47788220421674,300,0.0,Failed
FC(F)(F)C(=O)c1ccc(cc1)C(=O)OCCOOC,PET,3.3733989391912367,75.14186149862378,1.3350532328658926,4140.493112056588,204.23017317634648,100,77.9711027837962,Success
ClCC(F)(F)CC(F)(F)C,PVDF,11.94557325622312,-31.87494019640389,1.7664608342202837,809.4408036036464,168.98902120133707,200,0.0,Failed
NCCCCCC(=O)NC,Nylon-6,3.533257266313261,51.01591799998996,1.1376541212471054,1328.2121428946602,129.0600426279546,100,242.34147180369905,Success
CCC(F)(F)C(F)(F)C(F)(F)F,PTFE,2.162991112765951,110.50424947164574,2.208553938170311,2859.818522888734,31.27921348692851,200,73.2281105180854,Success
COCC(C)CC(C)CC,PP,2.245727741016209,-11.516147735611412,0.8872696379578974,4796.857986016122,22.907497680826545,25,46.8120684625295,Success
c1ccccc1C(F)(F)C(F)(F)C(F)(F)F,PTFE,2.000797352696748,112.12117937975437,2.2306658705677025,4998.431060676834,328.5549668622918,100,0.0,Failed
ClCC(c1ccccc1)CC(c1ccccc1)C#N,Polystyrene,2.5884988210952296,96.89792483461682,1.0899841227966482,2641.1144240941567,212.9004365259527,200,0.0,Failed
CC(=O)CCCCCC(=O)NOC,Nylon-6,3.4035996846973604,46.39955855558105,1.177923710207741,3267.8575495532973,204.7303267984572,25,98.2952788905161,Success
CC(=O)CCCCCC(=O)NC#N,Nylon-6,3.4501537735925525,50.561784568749445,1.1846872678635414,1278.988791967398,120.17305329886216,25,0.0,Failed
COCC(Cl)CC(Cl)C#N,PVC,3.494648375946732,78.64633208332052,1.3787462773888173,4090.222708266447,404.2229328563179,300,0.0,Failed
CC(=O)CC(c1ccccc1)CC(c1ccccc1)C(F)(F)F,Polystyrene,2.592431393275036,95.94410263162096,1.0757276203163788,3968.185811874638,456.5837411011699,200,0.0,Failed
CC(=O)CC(c1ccccc1)CC(c1ccccc1)CC,Polystyrene,2.4900289676376257,101.27249778154732,1.0249704112021518,3803.152940862578,437.38172817541925,100,63.7023883772186,Success
CC(=O)CCCCCCC,PE,2.1853992799632764,-117.87798255526428,0.8913717450964044,2884.668494939158,367.761937709468,300,73.3303078339569,Success
c1ccccc1CC(C)(C(=O)OC)CC(C)(C(=O)OC)C(F)(F)F,PMMA,3.0617816116104954,105.65235061275098,1.159818995704749,642.1658739933183,463.20655722131295,200,428.990354841522,Success
NOc1ccc(cc1)C(C)(C)c2ccc(cc2)OOC,Polycarbonate,2.842841712965998,144.76982503102536,1.2201902404382985,3745.708108477456,225.2119195843333,100,72.9808054056424,Success
FC(F)(F)CC(F)(F)CC(F)(F)C,PVDF,12.068448536164462,-32.61922397278042,1.824315722917456,2266.80561535597,234.9528302727772,300,0.0,Failed
CCCCCCCC#N,PE,2.240506021091264,-124.69518827107352,0.9350842652522258,2609.0131304462025,452.61943566378847,200,0.0,Failed
COCC(C)CC(C)Cl,PP,2.17213494106497,-12.950335290113484,0.8640078322824374,4714.513400220059,101.0463475918032,25,0.0,Failed
CCCCC(C)CC(C)Cl,PP,2.274416095334661,-13.173341366836238,0.8832239941978132,1203.99300582316,406.1044453917015,300,174.009989767037,Success
CC(=O)CCCCCC#N,PE,2.246739317922568,-115.27236433151374,0.9665341782621116,4759.923294011788,479.00774427566296,300,0.0,Failed
c1ccccc1CCCCCCC,PE,2.114632273964012,-116.2231270944268,0.9643243730294994,2630.2487125981747,400.5461409672139,300,0.0,Failed
FC(F)(F)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)OCC,Polycarbonate,2.936366574317585,146.80061662717105,1.202946620437063,1920.3743996694309,499.2672178894799,200,142.07175250815902,Success
CC(=O)C(=O)c1ccc(cc1)C(=O)OCCOC(F)(F)F,PET,3.313628022188618,72.26570315154515,1.4150435261910896,2470.1444405347256,183.58379689948623,25,125.28056178055,Success
ClCCCCCC(=O)NCC,Nylon-6,3.5835249460641574,47.84430190166101,1.1173340561004983,2696.390312996595,82.05973654643799,300,0.0,Failed
FC(F)(F)CC(c1ccccc1)CC(c1ccccc1)C#N,Polystyrene,2.57496794585536,104.4821537311076,1.0217453006517114,2654.3101239991734,79.37972267305472,100,92.2795211862116,Success
NCC(Cl)CC(Cl)C,PVC,3.439200319899955,81.72104958946859,1.4359274696300317,2855.7644722510254,373.4492633724633,25,0.0,Failed
COC(=O)c1ccc(cc1)C(=O)OCCOC(F)(F)F,PET,3.2257892382212665,77.56383838592785,1.3501011978961974,4152.001188654623,52.57936383181149,25,74.6119152101451,Success
CCCCCCCC(=O)NC(F)(F)F,Nylon-6,3.4002342606499654,44.92927626489662,1.1484829532057683,1737.8583212340652,122.64546397900573,200,179.98704019055998,Success
c1ccccc1CCCCCOC,PE,2.12288572388371,-117.79828646167287,0.8755808723790788,1498.0857262740158,124.1134601207816,25,0.0,Failed
CCC(C)CC(C)C(F)(F)F,PP,2.15023206373849,-14.57549343786673,0.9121323780789526,4454.3583552305545,207.4639475757814,25,48.3277381808182,Success
COCC(Cl)CC(Cl)C,PVC,3.514293557763677,83.06747390511708,1.377294288590539,2763.029331208134,316.7605393361632,25,0.0,Failed
CC(=O)CC(C)(C(=O)OC)CC(C)(C(=O)OC)Cl,PMMA,3.0316599833847646,106.40385697715044,1.1455906776775722,4147.2666674148495,225.33997358370075,200,70.5525055336786,Success
COOc1ccc(cc1)C(C)(C)c2ccc(cc2)OCCC,Polycarbonate,2.9136152806130973,140.66672400295306,1.2020378354911845,4685.3439592555815,279.2680400544273,200,60.4953147756837,Success
NOc1ccc(cc1)C(C)(C)c2ccc(cc2)OCCC,Polycarbonate,2.871441496812084,149.01650609514888,1.161924453392262,2275.342682216955,139.3253581397951,200,0.0,Failed
CCCCC(F)(F)CC(F)(F)C#N,PVDF,12.08323110986824,-36.610005612219645,1.7525050466315972,3831.6798086077865,260.5903951230359,100,0.0,Failed
FC(F)(F)CCCCCCCC,PE,2.203435545125505,-123.5755313834167,0.8826353431053774,670.54906582736,432.23417977423713,100,297.752041139687,Success
CC(=O)CCCCCCCC,PE,2.1131877814585867,-124.8106238540295,0.8774157226225672,3727.3845755277935,162.9008704650083,300,0.0,Failed
CCC(C)CC(C)CC,PP,2.23267834350004,-9.94643285149202,0.9259728067479328,2247.634419049658,252.2600831498808,200,0.0,Failed
CCC(F)(F)C(F)(F)C#N,PTFE,2.194514485055928,110.48196582662816,2.233376587022009,2032.702283298272,169.7338245386511,300,102.196136482131,Success
ClCC(C)CC(C)CC,PP,2.2502860470915675,-9.531125472022175,0.9053927735389432,4779.775365638101,243.29790360457127,300,0.0,Failed
c1ccccc1CC(C)(C(=O)OC)CC(C)(C(=O)OC)C,PMMA,3.070536468258022,105.4711569138644,1.2290086375859473,1429.9965913829574,490.8510088333629,200,0.0,Failed
CCCCC(C)(C(=O)OC)CC(C)(C(=O)OC)CCC,PMMA,3.0812937164234966,102.73617700211436,1.186120025341185,2230.9766947883018,95.3465252914786,200,0.0,Failed
NC(F)(F)C(F)(F)C(=O)O,PTFE,2.0787632194572003,114.09239914313942,2.218731706426022,2194.074048260404,224.14985437294,200,90.4470773018724,Success
ClCC(C)(C(=O)OC)CC(C)(C(=O)OC)OC,PMMA,2.9615028488581387,108.11581577242592,1.218524621092148,3984.262586569752,469.4033810420217,200,0.0,Failed
CCCC(F)(F)C(F)(F)C(=O)O,PTFE,2.1062714900633472,114.8887561901758,2.154336710491074,1271.361198727688,370.2257127771976,25,153.42877776453503,Success
COC(=O)c1ccc(cc1)C(=O)OCCOCl,PET,3.331617207507352,76.43300602843917,1.3740479484816557,4454.3633580387495,90.21151908481224,25,0.0,Failed
ClCCCCCC(=O)O,PE,2.2387116823255497,-117.22150337745929,0.8807058917771067,4721.947943611694,17.58156617322256,100,0.0,Failed
FC(F)(F)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)OC,Polycarbonate,2.918033612693159,141.03485625276824,1.1931721341011463,4834.56280378351,109.75461761569554,100,0.0,Failed
COC(F)(F)C(F)(F)OC,PTFE,2.0975179346272075,118.0163206574402,2.2023742391678818,2956.0227934460377,283.03093042503974,100,0.0,Failed
CCCC(F)(F)CC(F)(F)C#N,PVDF,12.059472924843966,-33.75090832466389,1.8057159889679049,3458.3610699644487,487.7834667331196,300,314.796596445006,Success
CCC(Cl)CC(Cl)C(F)(F)F,PVC,3.454346556409656,82.24714234977381,1.4209894893779165,2965.3963472357104,168.51392232036628,300,0.0,Failed
CCC(c1ccccc1)CC(c1ccccc1)C,Polystyrene,2.487524860826754,102.82954837497884,1.027095057948552,3810.93226771413,331.6713418103952,25,0.0,Failed
